ISO_country_code,GNI_Per_Capita_PPP,Maternal_Death_Risk,Life_Expectancy,Mobile_Subscriptions_Per_1000,Infant_Mortality_per_1000,School_Enrollment_Primary_Gross,School_Enrollment_Primary_Gross_Female,School_Enrollment_Primary_Gross_Male,School_Enrollment_Secondary_Gross,School_Enrollment_Secondary_Gross_Female,School_Enrollment_Secondary_Gross_Male,School_Enrollment_Tertiary_Gross,School_Enrollment_Tertiary_Gross_Female,School_Enrollment_Tertiary_Gross_Male
JPN,38658.2627,0.759896,83.5878488,122.1577296,2.1,11.2246475,11.187668,11.2599182,11.7456131,11.992331,11.5897675,63.3625979,6.88127899,65.732989
JOR,8524.755662,0.211368656,74.5214634,147.83889,15.8,97.34287262,97.61116791,97.8525848,82.44554138,84.877111,8.186893,,,
KAZ,21383.25638,0.35345784,71.62,172.191353,13.5,111.348771,111.3447,111.35672,15.4827194,16.848737,14.1933,48.4753335,54.169468,42.8796815
KEN,2714.752577,2.46345994,61.57636585,73.8432488,36.6,111.3958588,111.5767975,111.217563,,,,,,
KIR,,0.34816599,65.95168293,28.862251,44.6,113.1121216,115.182374,111.1593781,,,,,,
PRK,,0.155911443,7.7468293,11.1881123,2.7,,,,,,,,,
KOR,33534.4513,0.1433236,82.15585366,115.799812,3,98.9688341,98.52826691,99.387355,98.45323181,97.95892334,98.9847778,94.2121271,8.61351776,16.3461685
XKX,8821.37426,,71.975698,,,,,,,,,,,
KWT,76969.323,0.9974979,74.5852439,218.432852,7.7,12.683598,13.2515,12.3585892,93.6362244,98.986689,88.86593628,,,
KGZ,329.99825,0.2642816,7.424392,134.468681,2.1,17.6717987,17.264282,18.294128,9.78166962,91.17877197,9.428381,45.91783142,52.799939,39.94979
LAO,,0.72884552,66.11736585,66.99333256,52.3,116.3394928,113.492665,119.789566,57.23596954,54.57286835,59.822754,17.2919469,16.6896975,17.8812944
LVA,222.6564,0.278698,74.1243924,116.7991354,7.2,1.48218,99.97312927,1.8244629,115.359822,114.94299,116.631422,67.3972626,79.22167969,55.4752388
LBN,13322.5651,0.2882737,79.3739756,88.34778452,7.3,94.11962128,89.99226379,98.33827972,61.6679137,61.822295,61.55716,42.7728396,45.7467849,39.5422963
LSO,2947.6342,1.716442542,49.758537,11.9679515,7.5,17.94278,15.8454971,18.32382,52.17121124,6.41614914,44.892962,9.8422279,11.69215965,8.44739723
LBR,71.5866383,3.6794752,6.83441463,73.35344914,54.7,95.64746857,91.592686,99.54669952,37.87348175,33.1166687,42.47663879,,,
LBY,,0.2399726,71.71612195,161.12699,11.9,,,,,,,,,
LIE,,,82.731773,19.2971985,,12.669879,12.2556381,13.59668,115.557838,13.2742233,127.849836,37.488785,24.141534,5.81227112
LTU,2594.1255,0.15157555,74.5177317,141.8611987,3.6,12.46223,12.6779,12.32549,16.821837,14.617425,18.93774,68.5314122,82.81718,55.82434845
LUX,6758.77717,0.15963573,82.22926829,149.4892513,1.6,97.138881,97.3322832,96.93969727,12.2624588,13.4754868,11.1131897,,,
MAC,111885.145,,8.5539756,322.5915365,,96.72123718,96.32424164,97.912631,96.6497192,95.4367828,97.2194214,69.3551254,78.6493533,6.15428162
MKD,1259.78698,0.1182221,75.3423924,15.51957,5.2,9.483231,89.6473835,91.1316689,78.5794816,77.8357239,8.52777,39.594213,44.25418,35.159391
MDG,1334.42488,1.7615977,65.856976,41.294814,37,146.744812,146.5419769,146.9455261,38.43492889,38.679865,38.8921173,4.77555992,4.571529865,4.98713
MWI,16.925885,3.524299167,62.72163415,33.4688863,45.1,146.56538,147.964229,145.593414,39.4926924,37.546991,41.4379817,,,
MYS,2344.19988,0.84935949,74.71829268,148.8298489,6.2,12.7663193,12.949911,12.6351929,77.74965668,8.6654892,75.1143646,27.6483932,33.16424942,22.521827
MDV,,0.172928353,76.77282927,189.3831136,7.8,,,,,,,16.2273875,2.252472,12.39595985
MLI,1816.68736,3.8776212,57.98626829,149.691312,75.9,77.192816,72.9769516,81.2341797,43.5111536,37.3651897,49.3919614,,,
MLT,3836.681,0.1247628,81.94634146,126.9868835,5.2,11.949988,12.759119,11.111581,94.2566689,96.47112274,92.17796326,44.68619919,5.8826132,38.9249816
MHL,,,,29.37163647,3.2,,,,,,,,,
MRT,3589.957188,2.97656222,63.1658537,94.19928487,66.1,97.9719985,1.6721497,95.34767914,29.9353199,28.5849944,31.24729919,,,
MUS,17836.33415,0.78887853,74.1943924,132.2498241,12.2,12.6977768,13.729393,11.759174,97.93816376,98.9861628,96.9243115,38.67412186,42.6935863,34.7196831
MEX,1633.7761,0.93759391,76.72185366,84.65182433,11.9,13.3891983,13.1543732,13.6149826,9.5496925,93.46494293,87.72532654,29.9498,3.322957,29.8543712
FSM,,0.333613979,69.117317,,29.4,97.6324956,97.1849622,98.5161285,,,,,,
MDA,5241.932448,0.3252321,71.4558785,17.9952216,13.9,93.6421661,92.85932159,93.2578432,87.3276263,87.88926697,86.7895245,41.4896698,47.2773591,35.919962
MCO,,,,88.46477171,2.9,,,,,,,,,
MNG,1443.19415,0.132944545,69.4639244,15.69857,19.9,11.6784286,1.6382828,12.6964798,,,,64.27417755,75.91596222,52.8935587
MNE,14997.6445,0.12378385,76.187732,163.293689,4.6,,,,,,,,,
MAR,6899.641381,0.327363391,74.169756,131.71356,24.6,116.1342468,113.395462,118.7394333,,,,25.12491989,24.689516,25.5561949
MOZ,165.755728,2.653755887,55.2595122,69.81699867,58.5,14.7789383,1.2787399,19.2567368,32.8763123,3.5387997,33.6471999,5.974721,4.973629951,6.9863219
MMR,457.927419,0.4253582,65.85785366,54.3928721,4.7,99.6582875,98.29355621,11.5219,51.2968917,51.951948,5.64545822,,,
NAM,9612.43616,1.2767679,64.6819512,113.7562458,33.4,,,,,,,,,
NRU,,,,,29.7,14.9928,1.41696,19.5364227,82.63665771,83.4437133,81.875,,,
NPL,234.85517,0.74186988,69.6468293,81.8665331,3.5,135.2338257,14.6295319,13.183832,66.86894989,68.89868164,64.92173767,15.8324843,,
NLD,45556.7812,0.1158543,81.773177,116.423477,3.3,14.4383926,14.95394,14.765516,132.317182,,,,,
NCL,,,77.5731773,93.56333518,,,,,,,,,,
NZL,3339.99511,0.224677,81.448785,112.546897,4.8,98.63333893,98.459327,98.79936,117.4928,12.9874115,114.171663,8.8829422,94.688171,68.19133759
